,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
33,2020-12-07Sale,2020-12-094:28 pm,BIO-TECHNE Corp,TECH,Kummeth Charles R.CEO,"5,000",$308,"$1,540,000","166,269(IndirectDirect)",View
34,2020-12-09Sale,2020-12-094:28 pm,PC CONNECTION INC,CNXN,BEFFA NEGRINI DAVIDDirector,"2,000",$46.15,"$92,300","94,000(Direct)",View
35,2020-12-07Sale,2020-12-094:30 pm,AXON ENTERPRISE Inc,AAXN,Larson LukePresident,"2,075",$123.63,"$256,525","26,397(Direct)",View
36,2020-12-07Sale,2020-12-094:30 pm,Twist Bioscience Corp,TWST,Finn Patrick JohnChief Commercial Officer,"25,845",$131.46,"$3,397,582","44,422(Direct)",View
37,2020-12-07Sale,2020-12-094:30 pm,AXON ENTERPRISE Inc,AAXN,Isner JoshuaCHIEF REVENUE OFFICER,"1,383",$123.59,"$170,925","7,678(Direct)",View
38,2020-12-07Sale,2020-12-094:30 pm,AXON ENTERPRISE Inc,AAXN,Ahsan Jawad ACFO,"2,490",$123.63,"$307,827","62,326(Direct)",View
39,2020-12-07Sale,2020-12-094:30 pm,AXON ENTERPRISE Inc,AAXN,SMITH PATRICK WCEO,"1,245",$123.6,"$153,884","468,310(Direct)",View
40,2020-12-07Sale,2020-12-094:30 pm,TFF Pharmaceuticals Inc.,TFFP,WINDSOR JAMES BRIANChief Science Officer,"25,000",$15.8,"$395,000","5,000(Direct)",View
41,2020-12-07Sale,2020-12-094:30 pm,Graham Holdings Co,GHC,Rosen Andrew StephenVP,"4,222",$459.85,"$1,941,477","35,633(Direct)",View
42,2020-12-08Sale,2020-12-094:32 pm,UNITED STATES ANTIMONY CORP,UAMY,THOMAS CRAIG WDirector,"298,518",$0.49959,"$149,136","359,573(Direct)",View
43,2020-12-07Sale,2020-12-094:33 pm,AVALARA Inc,AVLR,INGRAM WILLIAMDirector,"25,000",$166.8,"$4,169,909","1,731(Direct)",View
44,2020-12-07Sale,2020-12-094:34 pm,VEEVA SYSTEMS INC,VEEV,MATEO ALANVP,"2,666",$271.24,"$723,126","10,264(Direct)",View
45,2020-12-08Sale,2020-12-094:34 pm,NXP Semiconductors N.V.,NXPI,Owen StephenVP,"7,313",$165.35,"$1,209,207",0(Direct),View
46,2020-12-08Sale,2020-12-094:34 pm,GAMCO INVESTORS Inc,GBL,GABELLI MARIO JCEOChairman10% Owner,"2,522",$15.18,"$38,283","2,033,892(IndirectDirect)",View
47,2020-12-08Sale,2020-12-094:34 pm,Cerence Inc.,CRNC,Fitzgerald LeanneGeneral Counsel,"4,017",$86.84,"$348,833","45,233(Direct)",View
48,2020-12-08Sale,2020-12-094:35 pm,MARKETAXESS HOLDINGS INC,MKTX,Pintoff ScottGeneral Counsel and Secretary,250,$566.13,"$141,533","7,589(Direct)",View
49,2020-12-08Sale,2020-12-094:35 pm,MARKETAXESS HOLDINGS INC,MKTX,McVey Richard MCEOChairman,"41,000",$565.17,"$23,172,008","811,063(IndirectDirect)",View
50,2020-12-07Sale,2020-12-094:35 pm,MARKETAXESS HOLDINGS INC,MKTX,Themelis NicholasCIO,"4,000",$546.49,"$2,185,965","26,192(Direct)",View
51,2020-12-08Sale,2020-12-094:36 pm,APPIAN CORP,APPN,Biddle Albert G.W. IIIDirector,"8,814",$156.94,"$1,383,289","100,000(IndirectDirect)",View
52,2020-12-07Sale,2020-12-094:37 pm,NEWMONT Corp,NEM,Kitlen JohnCAO,"2,000",$59.72,"$119,440","33,742(IndirectDirect)",View
53,2020-12-07Sale,2020-12-094:38 pm,META FINANCIAL GROUP INC,CASH,Stork Kendall EDirector,"1,000",$34.87,"$34,870","13,713(Indirect)",View
54,2020-12-07Sale,2020-12-094:38 pm,Oak Street Health Inc.,OSH,CLEM BRIANPresident,"100,000",$46,"$4,600,000","624,410(Direct)",View
55,2020-12-07Sale,2020-12-094:39 pm,Restaurant Brands International Inc.,QSR,Kobza JoshuaCOO,"149,793",$59.81,"$8,959,120","100,039(Direct)",View
56,2020-12-07Sale,2020-12-094:39 pm,BOISE CASCADE Co,BCC,Brown Dean MichaelVP,"1,000",$44.48,"$44,483","33,260(Direct)",View
57,2020-12-07Sale,2020-12-094:40 pm,Intercontinental Exchange Inc.,ICE,Goone David SChief Strategic Officer,"22,795",$110.04,"$2,508,355","184,674(Direct)",View
58,2020-12-07Sale,2020-12-094:40 pm,Oak Street Health Inc.,OSH,COOK TIMOTHY MCFO,"100,000",$46,"$4,600,000","1,408,624(IndirectDirect)",View
59,2020-12-07Sale,2020-12-094:40 pm,NanoString Technologies Inc,NSTG,WAITE CHARLES P JRDirector,"37,860",$60.47,"$2,289,380","1,890(Direct)",View
60,2020-12-07Sale,2020-12-094:41 pm,NanoString Technologies Inc,NSTG,Norden GregoryDirector,"10,406",$58.32,"$606,892","1,890(Direct)",View
61,2020-12-07Sale,2020-12-094:41 pm,Intercontinental Exchange Inc.,ICE,Hill Scott ACFO,"39,800",$110.14,"$4,383,763","145,992(Direct)",View
62,2020-12-07Sale,2020-12-094:43 pm,Oak Street Health Inc.,OSH,MYERS GRIFFINChief Medical Officer,"459,750",$46,"$21,148,500","6,112,463(IndirectDirect)",View
63,2020-12-07Sale,2020-12-094:44 pm,DermTech Inc.,DMTK,PANCOAST SCOTT RDirector,"2,382",$12,"$28,584","50,132(Direct)",View
64,2020-12-08Sale,2020-12-094:44 pm,Wendy's Co,WEN,Pringle Abigail E.Pres Intl & Chf Developmnt Ofc,"184,823",$21.99,"$4,064,184","111,988(IndirectDirect)",View
65,2020-12-07Sale,2020-12-094:44 pm,Progyny Inc.,PGNY,TPG Group Holdings (SBS) Advisors Inc.BONDERMAN DAVIDCOULTER JAMES G10% Owner,"112,948",$37.75,"$4,263,403","15,141,800(Indirect)",View
66,2020-12-08Sale,2020-12-094:44 pm,DIODES INC,DIOD,Tang FrancisVP,"11,411",$71.01,"$810,284","62,631(Direct)",View
67,2020-12-07Sale,2020-12-094:46 pm,Oak Street Health Inc.,OSH,PRICE GEOFFREY MCOO,"469,750",$46,"$21,608,500","7,510,287(Direct)",View
68,2020-12-07Sale,2020-12-094:46 pm,VISTEON CORP,VC,MANZO ROBERTDirector,"4,000",$126.68,"$506,720","5,000(IndirectDirect)",View
69,2020-12-08Sale,2020-12-094:48 pm,NIKE Inc.,NKE,Campion AndrewCOO,"120,000",$140,"$16,800,000","128,592(Direct)",View
70,2020-12-07Sale,2020-12-094:48 pm,VISTEON CORP,VC,SCRICCO FRANCIS MDirector,800,$127.31,"$101,848","6,350(Direct)",View
71,2020-12-07Sale,2020-12-094:49 pm,Oak Street Health Inc.,OSH,PYKOSZ MICHAEL TCEO,"444,750",$46,"$20,458,500","8,501,490(IndirectDirect)",View
72,2020-12-08Sale,2020-12-094:51 pm,NIKE Inc.,NKE,O'NEILL HEIDIPRES: CONSUMER AND MKTPLC,"22,500",$140,"$3,150,000","128,833(Direct)",View
73,2020-12-07Sale,2020-12-094:54 pm,AVALARA Inc,AVLR,PINNEY ALESIA LEESee Remarks,"2,580",$167.73,"$432,755","34,765(Direct)",View
74,2020-12-08Sale,2020-12-094:56 pm,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM,ZIONS BANCORPORATION NATIONAL ASSOCIATION10% Owner,"20,000",$74.28,"$1,485,624","390,000(Direct)",View
75,2020-12-08Sale,2020-12-094:57 pm,Keysight Technologies Inc.,KEYS,Estrada Ingrid AVP,"5,000",$124.67,"$623,350","94,259(Direct)",View
76,2020-12-08Sale,2020-12-094:57 pm,EVERBRIDGE Inc,EVBG,HUFF PHILLIP ECAO,904,$126.05,"$113,946","3,222(Direct)",View
77,2020-12-08Sale,2020-12-094:57 pm,Yext Inc.,YEXT,Distelburger BrianCOO,"10,000",$15.96,"$159,567","3,347,137(Direct)",View
78,2020-12-07Sale,2020-12-094:57 pm,Keysight Technologies Inc.,KEYS,Dougherty NeilCFO,"21,299",$124.23,"$2,645,992","91,220(Direct)",View
79,2020-12-09Sale,2020-12-094:58 pm,SKECHERS USA INC,SKX,GREENBERG MICHAELPresident,"200,000",$37.13,"$7,426,768","261,580(IndirectDirect)",View
80,2020-12-08Sale,2020-12-095:00 pm,Nuance Communications Inc.,NUAN,Nole Diana LVP,"1,836",$42.04,"$77,185","127,486(Direct)",View
81,2020-12-07Sale,2020-12-095:00 pm,INTELLINETICS Inc,INLX,TAGLICH ROBERT10% Owner,"3,397",$3.73,"$12,671","278,990(Direct)",View
82,2020-12-08Sale,2020-12-095:00 pm,SYSTEMAX INC,SYX,REINHOLD LAWRENCE PDirector,"36,151",$35,"$1,265,285","6,249(Direct)",View
83,2020-12-07Sale,2020-12-095:02 pm,MARRIOTT VACATIONS WORLDWIDE Corp,VAC,Hunter James H. IVVP,"7,500",$139.26,"$1,044,423","40,733(Direct)",View
84,2020-12-07Sale,2020-12-095:02 pm,Semler Scientific Inc.,SMLR,Murphy-Chutorian DouglasCEO10% Owner,"1,250",$78.43,"$98,038","61,071(Indirect)",View
85,2020-12-07Sale,2020-12-095:03 pm,AUTONATION Inc,AN,EDELSON DAVID BDirector,"5,000",$67.3,"$336,490","42,140(Direct)",View
86,2020-12-07Sale,2020-12-095:05 pm,Horizon Therapeutics Public Ltd Co,HZNP,SHERMAN JEFFREY WEVP and Chief Medical Officer,"103,842",$71.02,"$7,375,214","174,955(IndirectDirect)",View
87,2020-12-07Sale,2020-12-095:05 pm,MARRIOTT VACATIONS WORLDWIDE Corp,VAC,Smith Dwight D.CIO,"1,203",$138.39,"$166,483","11,680(Direct)",View
88,2020-12-08Sale,2020-12-095:05 pm,KFORCE INC,KFRC,Dunwoody Ann E.Director,"2,132",$42.85,"$91,356","8,596(Direct)",View
89,2020-12-09Sale,2020-12-095:07 pm,KFORCE INC,KFRC,STRUZZIERO RALPHDirector,"4,811",$43.05,"$207,114","18,640(Direct)",View
90,2020-12-07Sale,2020-12-095:08 pm,ECOLAB Inc,ECL,Charton JeromeVP,"1,749",$222.48,"$389,121","1,339(Direct)",View
91,2020-12-07Sale,2020-12-095:10 pm,Square Inc.,SQ,Dorsey JackCEOChairman10% Owner,"100,000",$209.69,"$20,969,001",0(Indirect),View
92,2020-12-07Sale,2020-12-095:11 pm,Twist Bioscience Corp,TWST,CRANDELL KEITHDirector,"75,000",$103.4,"$7,755,000","288,104(IndirectDirect)",View
93,2020-12-08Sale,2020-12-095:12 pm,PennyMac Financial Services Inc.,PFSI,Jones DougChief Mtge Bnkg Ofcr,"15,000",$58.8,"$882,032","66,192(IndirectDirect)",View
94,2020-12-03Sale(A),2020-12-095:12 pm,GRAN TIERRA ENERGY Inc,GTE,GMT CAPITAL CORPBAY RESOURCE PARTNERS LPBAY II RESOURCE PARTNERS LPBAY RESOURCE PARTNERS OFFSHORE MASTER FUND L.P.CLAUGUS THOMAS EGMT Exploration Co LLC10% Owner,"732,576",$0.2959,"$216,773","68,876,352(Direct)",View
95,2020-12-07Sale,2020-12-095:12 pm,Sunnova Energy International Inc.,NOVA,MORGAN MICHAEL CDirector,"100,000",$38.4,"$3,839,812","1,868(Indirect)",View
96,2020-12-07Sale,2020-12-095:13 pm,CONSUMER PORTFOLIO SERVICES Inc,CPSS,CREATURA MARKVP,"30,650",$4.0509,"$124,161","378,016(Direct)",View
97,2020-12-07Sale,2020-12-095:13 pm,Slack Technologies Inc.,WORK,Henderson CalCTO,"1,500",$43.07,"$64,605","85,655(IndirectDirect)",View
98,2020-12-09Sale,2020-12-095:14 pm,VIAVI SOLUTIONS Inc,VIAV,McNab PaulEVP Chief Mktg & Stgy Officer,"12,248",$13.88,"$170,002","48,345(Direct)",View
99,2020-12-07Sale,2020-12-095:15 pm,Sunnova Energy International Inc.,NOVA,Baker Walter ASee Remarks,"49,891",$39.5,"$1,970,907","65,076(Direct)",View
100,2020-12-08Sale,2020-12-095:15 pm,Cloudera Inc.,CLDR,FRANKOLA JIMCFO,"4,363",$12.3,"$53,653","1,379,132(Direct)",View
101,2020-12-07Sale,2020-12-095:16 pm,STANLEY BLACK & DECKER Inc,SWK,Ansell Jeffrey DVP,"1,191",$178.25,"$212,291","13,365(IndirectDirect)",View
102,2020-12-09Sale,2020-12-095:17 pm,WSFS FINANCIAL CORP,WSFS,EDDENS PEGGY HVP,"16,312",$42.61,"$695,087","17,293(IndirectDirect)",View
103,2020-12-07Sale,2020-12-095:17 pm,Vroom Inc.,VRM,Jones David K.CFO,"10,000",$34.92,"$349,232","36,778(Direct)",View
104,2020-12-08Sale,2020-12-095:19 pm,PennyMac Mortgage Investment Trust,PMT,Jones DougChf Mortgage Banking Officer,"9,000",$17.81,"$160,269","65,557(Direct)",View
105,2020-12-07Sale,2020-12-095:21 pm,Frequency Therapeutics Inc.,FREQ,Lucchino David L.CEO,"13,514",$30.83,"$416,686","323,800(Direct)",View
106,2020-12-07Sale,2020-12-095:23 pm,Cactus Inc.,WHD,Rosenthal Gary LDirector,"17,000",$27.24,"$463,020","17,842(Direct)",View
107,2020-12-09Sale,2020-12-095:23 pm,OMNICELL Inc,OMCL,LIPPS RANDALL ACEOChairman,"25,000",$121.85,"$3,046,242","152,116(IndirectDirect)",View
108,2020-12-07Sale,2020-12-095:23 pm,T-Mobile US Inc.,TMUS,Miller David AVP,"15,000",$132.33,"$1,984,900","121,142(Direct)",View
109,2020-12-07Sale,2020-12-095:24 pm,GenMark Diagnostics Inc.,GNMK,Shaw ChristineVP,274,$13.97,"$3,828","79,877(Direct)",View
110,2020-12-07Sale,2020-12-095:24 pm,GenMark Diagnostics Inc.,GNMK,O'Brien Scott AlexanderVP,742,$13.97,"$10,366","134,937(Direct)",View
111,2020-12-07Sale,2020-12-095:24 pm,Independence Contract Drilling Inc.,ICD,MSD CAPITAL L PMSD Energy Investments L.P.DELL MICHAEL SDirector,"9,652",$3.8205,"$36,875","202,272(Indirect)",View
112,2020-12-07Sale,2020-12-095:24 pm,CASTLE BIOSCIENCES INC,CSTL,Cook Joseph C. IIIDirector,"47,176",$56.2,"$2,651,169","861,234(IndirectDirect)",View
113,2020-12-07Sale,2020-12-095:25 pm,Moderna Inc.,MRNA,Zaks Tal ZviChief Medical Officer,"20,000",$158.47,"$3,169,313",0(Direct),View
114,2020-12-09Sale,2020-12-095:25 pm,Cactus Inc.,WHD,Isaac David JohnVP,"2,299",$27.25,"$62,648","5,091(Direct)",View
115,2020-12-04Sale,2020-12-095:26 pm,FDCTECH Inc,FDCT,Eaglstein Mitchell M.CEO10% Owner,"11,895",$0.35,"$4,163","29,768,104(Direct)",View
116,2020-12-07Sale,2020-12-095:28 pm,Independence Contract Drilling Inc.,ICD,MSD Partners L.P.MSD Credit Opportunity Master Fund L.P.Director10% Owner,"40,462",$3.8205,"$154,583","852,436(Indirect)",View
117,2020-12-07Sale,2020-12-095:28 pm,Simpson Manufacturing Co. Inc.,SSD,Magstadt Brian JCFO,"12,000",$90.48,"$1,085,760","43,889(IndirectDirect)",View
118,2020-12-07Sale,2020-12-095:28 pm,SI-BONE Inc.,SIBN,DUNN JEFFREY WCEOChairman,"40,000",$24.28,"$971,362","155,940(IndirectDirect)",View
119,2020-12-07Sale,2020-12-095:29 pm,CARVANA CO.,CVNA,HUSTON BENJAMIN E.COO,"10,000",$259.12,"$2,591,200","33,828(Direct)",View
120,2020-12-07Sale,2020-12-095:30 pm,CARVANA CO.,CVNA,JENKINS MARK W.CFO,"10,000",$259.35,"$2,593,543","33,820(Direct)",View
121,2020-12-08Sale,2020-12-095:30 pm,SJW GROUP,SJW,AVILA-WALKER WENDYVP,550,$67.21,"$36,965","3,891(Direct)",View
122,2020-12-07Sale,2020-12-095:34 pm,TPI COMPOSITES INC,TPIC,Weiss Daniel GDirector,"20,607",$43.33,"$892,924","34,248(IndirectDirect)",View
123,2020-12-07Sale,2020-12-095:35 pm,DROPBOX Inc,DBX,Volkmer BartChief Legal Officer,"10,000",$20.58,"$205,830","227,651(Direct)",View
124,2020-12-07Sale,2020-12-095:39 pm,Ingersoll Rand Inc.,IR,Reynal VicenteDirector,"1,320",$45.03,"$59,442","200,018(IndirectDirect)",View
125,2020-12-07Sale,2020-12-095:40 pm,InfuSystem Holdings Inc,INFU,BlueLine Capital Partners II L.P.Meridian OHC LLCMeridian TSV II LPTSV Investment Partners LLCBlueLine Partners L.L.C.Director,"9,094",$17.09,"$155,387","493,656(Direct)",View
126,2020-12-07Sale,2020-12-095:40 pm,ANGI Homeservices Inc.,ANGI,Hanrahan OisinCPO,"70,014",$11.85,"$829,666","211,653(Direct)",View
127,2020-12-09Sale,2020-12-095:46 pm,INTERNATIONAL PAPER CO,IP,SIMS JOHN VVP,"8,627",$49.49,"$426,925","14,108(IndirectDirect)",View
128,2020-12-07Sale,2020-12-095:53 pm,Coherus BioSciences Inc.,CHRS,Anicetti Vincent RCOO,"8,791",$18.42,"$161,896","32,569(Direct)",View
129,2020-12-08Sale,2020-12-095:54 pm,BASIC ENERGY SERVICES Inc,BASX,Kern James D.Director,"46,100",$0.1295,"$5,970","20,000(Direct)",View
130,2020-12-07Sale,2020-12-095:57 pm,GRAN TIERRA ENERGY Inc,GTE,GMT CAPITAL CORPBAY RESOURCE PARTNERS LPBAY II RESOURCE PARTNERS LPBAY RESOURCE PARTNERS OFFSHORE MASTER FUND L.P.CLAUGUS THOMAS EGMT Exploration Co LLC10% Owner,"1,453,900",$0.40528,"$589,242","67,422,456(Direct)",View
131,2020-12-07Sale,2020-12-095:57 pm,GrubHub Inc.,GRUB,DeWitt AdamCFO,"3,500",$68.9,"$241,150","55,115(Direct)",View
132,2020-12-07Sale,2020-12-096:03 pm,e.l.f. Beauty Inc.,ELF,AMIN TARANGCEO,"10,749",$22.47,"$241,492","2,685,016(IndirectDirect)",View
133,2020-12-07Sale,2020-12-096:14 pm,INTER PARFUMS INC,IPAR,GREENBERG RUSSELLCFO,"2,500",$58,"$145,000","5,000(Direct)",View
134,2020-12-08Sale,2020-12-096:15 pm,SONOCO PRODUCTS CO,SON,Florence John MVP,701,$60.69,"$42,542","8,895(IndirectDirect)",View
135,2020-12-07Sale,2020-12-096:18 pm,HP INC,HPQ,Schell ChristophChief Commercial Officer,"48,755",$23.16,"$1,129,166","110,854(Direct)",View
136,2020-12-07Sale,2020-12-096:24 pm,VAPOTHERM INC,VAPO,3x5 Partners LLC10% Owner,"25,000",$27.89,"$697,164","604,974(IndirectDirect)",View
137,2020-12-07Sale,2020-12-096:26 pm,Tenzing Acquisition Corp.,TZAC,Hudson Bay Capital Management LPGerber Sander10% Owner,"50,000",$11.51,"$575,500","710,000(Indirect)",View
138,2020-12-07Sale,2020-12-096:26 pm,Hewlett Packard Enterprise Co,HPE,Karros Kirt PVP,"12,222",$12.04,"$147,153",0(Direct),View
139,2020-12-04Sale,2020-12-096:27 pm,Extraction Oil & Gas Inc.,XOG,LEIDEL PETER ADirector,"85,000",$0.0476,"$4,046","89,572(Direct)",View
140,2020-12-07Sale,2020-12-096:29 pm,Hewlett Packard Enterprise Co,HPE,Ricci Jeff TVP,"14,328",$12.04,"$172,509",0(Direct),View
141,2020-12-08Sale,2020-12-096:38 pm,Freshpet Inc.,FRPT,BREWSTER DARYL GDirector,"16,053",$136.76,"$2,195,432","52,632(Direct)",View
142,2020-12-07Sale,2020-12-096:41 pm,Inari Medical Inc.,NARI,Cooperatieve Gilde Healthcare IV U.A.Gilde Healthcare IV Management B.V.Gilde Healthcare Holding B.V.10% Owner,"254,840",$66.02,"$16,824,753","7,149,168(Indirect)",View
143,2020-12-07Sale,2020-12-096:51 pm,SolarWinds Corp,SWI,Silver Lake Group L.L.C.SLTA IV (GP) L.L.C.Silver Lake Technology Associates IV L.P.Silver Lake Partners IV L.P.Silver Lake Technology Investors IV L.P.SLTA III (GP) L.L.C.Silver Lake Technology Investors III L.P.Hao KennethBingle Michael JDirector10% Owner,"7,168,866",$21.97,"$157,499,981","34,646,636(Indirect)",View
144,2020-09-04Sale,2020-12-096:53 pm,Acamar Partners Acquisition Corp.,AMHC,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,12,$10.67,$128,"1,113,218(Indirect)",View
145,2020-12-07Sale,2020-12-096:53 pm,GigCapital2 Inc.,GIX,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,"593,551",$11.31,"$6,710,173","2,246,713(Indirect)",View
146,2020-12-07Sale,2020-12-096:53 pm,Jiya Acquisition Corp.,JYAC,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,"10,301",$10.05,"$103,525","1,231,823(Indirect)",View
147,2020-12-07Sale,2020-12-096:54 pm,SolarWinds Corp,SWI,SLP Aurora Co-Invest L.P.SLP Denali Co-Invest GP L.L.C.Director10% Owner,"2,079,823",$21.97,"$45,693,710","34,646,636(Indirect)",View
148,2020-12-07Sale,2020-12-096:54 pm,Replay Acquisition Corp.,RPLA,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,"2,000",$10.35,"$20,700","4,341,882(Indirect)",View
149,2020-12-07Sale,2020-12-096:54 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"17,285",$248.7,"$4,298,751",0(IndirectDirect),View
150,2020-12-07Sale,2020-12-096:56 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"22,715",$257.56,"$5,850,569",0(IndirectDirect),View
151,2020-09-04Sale,2020-12-096:59 pm,Acamar Partners Acquisition Corp.,AMHC,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,12,$10.67,$128,"1,113,218(Indirect)",View
152,2020-12-08Sale,2020-12-097:01 pm,COLUMBIA SPORTSWEAR CO,COLM,Bragdon Peter JCAO,"12,485",$88,"$1,098,680","19,626(Direct)",View
153,2020-12-07Sale,2020-12-097:01 pm,SHOTSPOTTER INC,SSTI,Clark Ralph A.CEO,"35,000",$33.69,"$1,179,040","509,562(Direct)",View
154,2020-12-07Sale,2020-12-097:02 pm,VAPOTHERM INC,VAPO,Walrod Nicholas T.10% Owner,"25,000",$27.89,"$697,132","1,990,811(Indirect)",View
